tjobname;stage;COI-setup-start;COI-setup-end;tjob-setup-start;tjob-setup-end;tjob-testexec-start;tjob-testexec-end;tjob-teardown-start;tjob-teardown-end;coi-teardown-start;coi-teardown-end
tjobc;0;1686329989;1686329993;1686329993;1686330029;1686330030;1686330101;1686330102;1686330104;1686330747;1686330747
tjobd;0;1686329989;1686329993;1686329993;1686330034;1686330035;1686330111;1686330111;1686330114;1686330747;1686330747
tjobe;0;1686329989;1686329993;1686329993;1686330034;1686330034;1686330100;1686330100;1686330103;1686330747;1686330747
tjobf;3;1686329989;1686329993;1686330573;1686330612;1686330613;1686330712;1686330712;1686330715;1686330747;1686330747
tjobg;2;1686329989;1686329993;1686330425;1686330463;1686330464;1686330571;1686330571;1686330573;1686330747;1686330747
tjobh;1;1686329989;1686329993;1686330114;1686330151;1686330151;1686330195;1686330195;1686330197;1686330747;1686330747
tjobi;1;1686329989;1686329993;1686330114;1686330151;1686330152;1686330202;1686330202;1686330204;1686330747;1686330747
tjobj;1;1686329989;1686329993;1686330114;1686330151;1686330152;1686330422;1686330422;1686330425;1686330747;1686330747
tjobk;3;1686329989;1686329993;1686330573;1686330609;1686330610;1686330743;1686330743;1686330746;1686330747;1686330747
tjobl;3;1686329989;1686329993;1686330573;1686330614;1686330615;1686330679;1686330679;1686330682;1686330747;1686330747
tjobm;2;1686329989;1686329993;1686330425;1686330463;1686330463;1686330540;1686330541;1686330543;1686330747;1686330747
tjobn;2;1686329989;1686329993;1686330425;1686330463;1686330463;1686330537;1686330537;1686330539;1686330747;1686330747
